"varnames_orig","varnames_replace"
"audience_count_apr32_2w_5km","esize_2w_5km7"
"audience_count_apr32_2w_10km","esize_2w_10km7"
"audience_count_apr32_2w_25km","esize_2w_25km7"
"audience_count_apr32_2w_50km","esize_2w_50km7"
"audience_count_apr32_4w_5km","esize_4w_5km7"
"audience_count_apr32_4w_10km","esize_4w_10km7"
"audience_count_apr32_4w_25km","esize_4w_25km7"
"audience_count_apr32_4w_50km","esize_4w_50km7"
"audience_count_apr32_8w_5km","esize_8w_5km7"
"audience_count_apr32_8w_10km","esize_8w_10km7"
"audience_count_apr32_8w_25km","esize_8w_25km7"
"audience_count_apr32_8w_50km","esize_8w_50km7"
"audience_count_apr32_12w_5km","esize_12w_5km7"
"audience_count_apr32_12w_10km","esize_12w_10km7"
"audience_count_apr32_12w_25km","esize_12w_25km7"
"audience_count_apr32_12w_50km","esize_12w_50km7"
"speeches_count_may28_5km","vcount_5km1"
"speeches_count_may28_10km","vcount_10km1"
"speeches_count_may28_25km","vcount_25km1"
"speeches_count_may28_50km","vcount_50km1"
"speeches_count_sep30_5km","vcount_5km2"
"speeches_count_sep30_10km","vcount_10km2"
"speeches_count_sep30_25km","vcount_25km2"
"speeches_count_sep30_50km","vcount_50km2"
"speeches_count_jul32_5km","vcount_5km3"
"speeches_count_jul32_10km","vcount_10km3"
"speeches_count_jul32_25km","vcount_25km3"
"speeches_count_jul32_50km","vcount_50km3"
"speeches_count_nov32_5km","vcount_5km4"
"speeches_count_nov32_10km","vcount_10km4"
"speeches_count_nov32_25km","vcount_25km4"
"speeches_count_nov32_50km","vcount_50km4"
"speeches_count_mar33_5km","vcount_5km5"
"speeches_count_mar33_10km","vcount_10km5"
"speeches_count_mar33_25km","vcount_25km5"
"speeches_count_mar33_50km","vcount_50km5"
"speeches_count_mar32_5km","vcount_5km6"
"speeches_count_mar32_10km","vcount_10km6"
"speeches_count_mar32_25km","vcount_25km6"
"speeches_count_mar32_50km","vcount_50km6"
"speeches_count_apr32_5km","vcount_5km7"
"speeches_count_apr32_10km","vcount_10km7"
"speeches_count_apr32_25km","vcount_25km7"
"speeches_count_apr32_50km","vcount_50km7"
"speeches_count_may28_2w_5km","vcount_2w_5km1"
"speeches_count_may28_2w_10km","vcount_2w_10km1"
"speeches_count_may28_2w_25km","vcount_2w_25km1"
"speeches_count_may28_2w_50km","vcount_2w_50km1"
"speeches_count_may28_4w_5km","vcount_4w_5km1"
"speeches_count_may28_4w_10km","vcount_4w_10km1"
"speeches_count_may28_4w_25km","vcount_4w_25km1"
"speeches_count_may28_4w_50km","vcount_4w_50km1"
"speeches_count_may28_8w_5km","vcount_8w_5km1"
"speeches_count_may28_8w_10km","vcount_8w_10km1"
"speeches_count_may28_8w_25km","vcount_8w_25km1"
"speeches_count_may28_8w_50km","vcount_8w_50km1"
"speeches_count_may28_12w_5km","vcount_12w_5km1"
"speeches_count_may28_12w_10km","vcount_12w_10km1"
"speeches_count_may28_12w_25km","vcount_12w_25km1"
"speeches_count_may28_12w_50km","vcount_12w_50km1"
"speeches_count_sep30_2w_5km","vcount_2w_5km2"
"speeches_count_sep30_2w_10km","vcount_2w_10km2"
"speeches_count_sep30_2w_25km","vcount_2w_25km2"
"speeches_count_sep30_2w_50km","vcount_2w_50km2"
"speeches_count_sep30_4w_5km","vcount_4w_5km2"
"speeches_count_sep30_4w_10km","vcount_4w_10km2"
"speeches_count_sep30_4w_25km","vcount_4w_25km2"
"speeches_count_sep30_4w_50km","vcount_4w_50km2"
"speeches_count_sep30_8w_5km","vcount_8w_5km2"
"speeches_count_sep30_8w_10km","vcount_8w_10km2"
"speeches_count_sep30_8w_25km","vcount_8w_25km2"
"speeches_count_sep30_8w_50km","vcount_8w_50km2"
"speeches_count_sep30_12w_5km","vcount_12w_5km2"
"speeches_count_sep30_12w_10km","vcount_12w_10km2"
"speeches_count_sep30_12w_25km","vcount_12w_25km2"
"speeches_count_sep30_12w_50km","vcount_12w_50km2"
"speeches_count_jul32_2w_5km","vcount_2w_5km3"
"speeches_count_jul32_2w_10km","vcount_2w_10km3"
"speeches_count_jul32_2w_25km","vcount_2w_25km3"
"speeches_count_jul32_2w_50km","vcount_2w_50km3"
"speeches_count_jul32_4w_5km","vcount_4w_5km3"
"speeches_count_jul32_4w_10km","vcount_4w_10km3"
"speeches_count_jul32_4w_25km","vcount_4w_25km3"
"speeches_count_jul32_4w_50km","vcount_4w_50km3"
"speeches_count_jul32_8w_5km","vcount_8w_5km3"
"speeches_count_jul32_8w_10km","vcount_8w_10km3"
"speeches_count_jul32_8w_25km","vcount_8w_25km3"
"speeches_count_jul32_8w_50km","vcount_8w_50km3"
"speeches_count_jul32_12w_5km","vcount_12w_5km3"
"speeches_count_jul32_12w_10km","vcount_12w_10km3"
"speeches_count_jul32_12w_25km","vcount_12w_25km3"
"speeches_count_jul32_12w_50km","vcount_12w_50km3"
"speeches_count_nov32_2w_5km","vcount_2w_5km4"
"speeches_count_nov32_2w_10km","vcount_2w_10km4"
"speeches_count_nov32_2w_25km","vcount_2w_25km4"
"speeches_count_nov32_2w_50km","vcount_2w_50km4"
"speeches_count_nov32_4w_5km","vcount_4w_5km4"
"speeches_count_nov32_4w_10km","vcount_4w_10km4"
"speeches_count_nov32_4w_25km","vcount_4w_25km4"
"speeches_count_nov32_4w_50km","vcount_4w_50km4"
"speeches_count_nov32_8w_5km","vcount_8w_5km4"
